source,target,lenght
reference,21,1.0
249,120,0.9027645376549094
226,194,0.9655172413793104
34,65,0.9682539682539683
106,reference,0.9587167371300671
100,reference,0.969630038652678
254,247,0.8485742379547689
251,21,0.958974358974359
252,208,0.9039855072463768
247,reference,0.984267453294002
248,reference,0.9786780383795309
208,reference,0.9329710144927537
222,188,1.0
120,reference,0.9275500476644424
22,reference,0.8041237113402062
36,reference,0.9400479616306955
157,reference,0.9512195121951219
31,194,0.9827586206896551
179,reference,0.9892086330935251
183,reference,0.9739292364990689
80,reference,0.9541666666666667
21,reference,1.0
112,18,0.9459459459459459
18,reference,0.8803088803088803
65,reference,0.9682539682539683
194,reference,0.9827586206896551
188,reference,0.9814814814814815
